archive_date,count_long_short_ratio,count_toptrader_long_short_ratio,create_time,source,sum_open_interest,sum_open_interest_value,sum_taker_long_short_vol_ratio,sum_toptrader_long_short_ratio,symbol
2025-03-31,,,2025-03-31 00:00:00,binance_coin_m_archive,18993818.00000000,23069.87223633,3.58749239,,BTCUSD_PERP
2025-04-01,,,2025-04-01 00:00:00,binance_coin_m_archive,19076463.00000000,23125.42534573,6.10978261,,BTCUSD_PERP
2025-04-02,,,2025-04-02 00:00:00,binance_coin_m_archive,18977825.00000000,22291.70830666,0.36580693,,BTCUSD_PERP
2025-04-03,,,2025-04-03 00:00:00,binance_coin_m_archive,19300637.00000000,23405.08987447,1.07800556,,BTCUSD_PERP
2025-04-04,,,2025-04-04 00:00:00,binance_coin_m_archive,18956247.00000000,22801.49487086,1.85074067,,BTCUSD_PERP
2025-04-05,,,2025-04-05 00:00:00,binance_coin_m_archive,18695807.00000000,22304.17670779,3.53316510,,BTCUSD_PERP
2025-04-06,,,2025-04-06 00:00:00,binance_coin_m_archive,18804254.00000000,22530.54617536,0.87055370,,BTCUSD_PERP
2025-04-07,,,2025-04-07 00:00:00,binance_coin_m_archive,19682707.00000000,25128.96078573,0.61455850,,BTCUSD_PERP
2025-04-08,,,2025-04-08 00:00:00,binance_coin_m_archive,19625571.00000000,24814.22556581,0.91338240,,BTCUSD_PERP
2025-04-09,,,2025-04-09 00:00:00,binance_coin_m_archive,19736651.00000000,25891.77265423,1.20509757,,BTCUSD_PERP
2025-04-10,,,2025-04-10 00:00:00,binance_coin_m_archive,18751508.00000000,22713.73785973,0.47978558,,BTCUSD_PERP
2025-04-11,,,2025-04-11 00:00:00,binance_coin_m_archive,18988999.00000000,23879.40578770,1.56049967,,BTCUSD_PERP
2025-04-12,,,2025-04-12 00:00:00,binance_coin_m_archive,19072579.00000000,22879.25179249,1.30891495,,BTCUSD_PERP
2025-04-13,,,2025-04-13 00:00:00,binance_coin_m_archive,19502921.00000000,22885.10571378,0.30547030,,BTCUSD_PERP
2025-04-14,,,2025-04-14 00:00:00,binance_coin_m_archive,19407256.00000000,23187.26754196,1.41111461,,BTCUSD_PERP
2025-04-15,,,2025-04-15 00:00:00,binance_coin_m_archive,19455218.00000000,23010.80995658,0.87487058,,BTCUSD_PERP
2025-04-16,,,2025-04-16 00:00:00,binance_coin_m_archive,19213559.00000000,22974.40440480,0.81378062,,BTCUSD_PERP
2025-04-17,,,2025-04-17 00:00:00,binance_coin_m_archive,19041444.00000000,22670.94969074,0.13723801,,BTCUSD_PERP
2025-04-18,,,2025-04-18 00:00:00,binance_coin_m_archive,18627670.00000000,21935.97756359,10.05481728,,BTCUSD_PERP
2025-04-19,,,2025-04-19 00:00:00,binance_coin_m_archive,18556302.00000000,21979.54717038,0.26660559,,BTCUSD_PERP
2025-04-20,,,2025-04-20 00:00:00,binance_coin_m_archive,18654005.00000000,21936.98440045,1.36397632,,BTCUSD_PERP
2025-04-21,,,2025-04-21 00:00:00,binance_coin_m_archive,19315916.00000000,22683.18697141,2.38613436,,BTCUSD_PERP
2025-04-22,,,2025-04-22 00:00:00,binance_coin_m_archive,19433757.00000000,22216.12695611,2.41058486,,BTCUSD_PERP
2025-04-23,,,2025-04-23 00:00:00,binance_coin_m_archive,19332618.00000000,20690.42729097,1.22657923,,BTCUSD_PERP
2025-04-24,,,2025-04-24 00:00:00,binance_coin_m_archive,19865318.00000000,21203.28799255,1.88881192,,BTCUSD_PERP
2025-04-25,,,2025-04-25 00:00:00,binance_coin_m_archive,19951679.00000000,21233.23194742,0.62646394,,BTCUSD_PERP
2025-04-26,,,2025-04-26 00:00:00,binance_coin_m_archive,19707695.00000000,20817.70670856,1.22340035,,BTCUSD_PERP
2025-04-27,,,2025-04-27 00:00:00,binance_coin_m_archive,19350443.00000000,20450.21464308,12.19855596,,BTCUSD_PERP
2025-04-28,,,2025-04-28 00:00:00,binance_coin_m_archive,19337172.00000000,20629.35344083,0.44628205,,BTCUSD_PERP
2025-04-29,,,2025-04-29 00:00:00,binance_coin_m_archive,19418546.00000000,20443.21260119,0.37679571,,BTCUSD_PERP
2025-04-30,,,2025-04-30 00:00:00,binance_coin_m_archive,19291841.00000000,20470.04719219,3.51135889,,BTCUSD_PERP
2025-05-01,,,2025-05-01 00:00:00,binance_coin_m_archive,18522511.00000000,19673.90671669,1.39482565,,BTCUSD_PERP
2025-05-02,,,2025-05-02 00:00:00,binance_coin_m_archive,19368913.00000000,20078.56490538,1.06665701,,BTCUSD_PERP
2025-05-03,,,2025-05-03 00:00:00,binance_coin_m_archive,19222201.00000000,19841.65754867,1.19805704,,BTCUSD_PERP
2025-05-04,,,2025-05-04 00:00:00,binance_coin_m_archive,18762178.00000000,19574.08517597,15.79844387,,BTCUSD_PERP
2025-05-05,,,2025-05-05 00:00:00,binance_coin_m_archive,18595411.00000000,19729.87330735,0.48920674,,BTCUSD_PERP
2025-05-06,,,2025-05-06 00:00:00,binance_coin_m_archive,18840157.00000000,19898.58250186,1.00992489,,BTCUSD_PERP
2025-05-07,,,2025-05-07 00:00:00,binance_coin_m_archive,19214415.00000000,19850.61153696,0.16365678,,BTCUSD_PERP
2025-05-08,,,2025-05-08 00:00:00,binance_coin_m_archive,19415321.00000000,20017.22931701,1.22601216,,BTCUSD_PERP
2025-05-09,,,2025-05-09 00:00:00,binance_coin_m_archive,19614265.00000000,18997.09669726,2.08514933,,BTCUSD_PERP
2025-05-10,,,2025-05-10 00:00:00,binance_coin_m_archive,19568120.00000000,19009.39583754,0.08007640,,BTCUSD_PERP
2025-05-11,,,2025-05-11 00:00:00,binance_coin_m_archive,20256192.00000000,19329.66325137,1.49008571,,BTCUSD_PERP
2025-05-12,,,2025-05-12 00:00:00,binance_coin_m_archive,20387744.00000000,19585.11235589,2.70237548,,BTCUSD_PERP
2025-05-13,,,2025-05-13 00:00:00,binance_coin_m_archive,20890467.00000000,20328.56513121,0.15561295,,BTCUSD_PERP
2025-05-14,,,2025-05-14 00:00:00,binance_coin_m_archive,21319037.00000000,20480.18894116,0.67706493,,BTCUSD_PERP
2025-05-15,,,2025-05-15 00:00:00,binance_coin_m_archive,21617711.00000000,20890.75452407,0.72905998,,BTCUSD_PERP
2025-05-16,,,2025-05-16 00:00:00,binance_coin_m_archive,21009640.00000000,20251.27042512,0.79534422,,BTCUSD_PERP
2025-05-17,,,2025-05-17 00:00:00,binance_coin_m_archive,20279101.00000000,19602.48212451,1.13284804,,BTCUSD_PERP
2025-05-18,,,2025-05-18 00:00:00,binance_coin_m_archive,20493203.00000000,19872.44736176,0.38919682,,BTCUSD_PERP
2025-05-19,,,2025-05-19 00:00:00,binance_coin_m_archive,20549071.00000000,19298.83329116,0.75735068,,BTCUSD_PERP
2025-05-20,,,2025-05-20 00:00:00,binance_coin_m_archive,20836779.00000000,19736.13426435,2.02239246,,BTCUSD_PERP
2025-05-21,,,2025-05-21 00:00:00,binance_coin_m_archive,20435659.00000000,19127.07983321,4.57864769,,BTCUSD_PERP
2025-05-22,,,2025-05-22 00:00:00,binance_coin_m_archive,21902535.00000000,19971.91159963,0.81758556,,BTCUSD_PERP
2025-05-23,,,2025-05-23 00:00:00,binance_coin_m_archive,23057920.00000000,20638.73901010,0.74156857,,BTCUSD_PERP
2025-05-24,,,2025-05-24 00:00:00,binance_coin_m_archive,22443683.00000000,20914.63495321,1.68293398,,BTCUSD_PERP
